Student,Grade,Readme,Interfaces,Virt_functions,Classes,Diagrams,Lines
student_1,8.55,0,0,0,30,1,2737
student_10,6.16,0,0,0,7,1,965
student_12,5.2,0,0,0,13,1,1786
student_13,6.9,0,0,0,20,1,1960
student_14,4.41,0,0,0,14,1,2922
student_15,8.55,0,3,5,25,1,2544
student_17,5.7,0,1,2,12,1,1615
student_2,7.16,0,2,2,25,1,2239
student_22,7.36,0,0,0,22,1,908
student_23,9.45,0,1,0,23,1,3137
student_24,10,1,10,55,41,1,3549
student_25,5.7,0,0,0,7,1,1241
student_26,6.92,1,0,0,19,1,1779
student_27,5.01,0,0,0,12,1,842
student_28,4.95,0,0,0,14,1,2382
student_29,7.9,0,0,0,10,1,2447
student_3,10,0,5,6,36,1,4079
student_31,7.56,1,0,0,20,1,2214
student_32,8.21,0,0,0,18,1,1862
student_33,9.5,0,1,1,25,1,2299
student_34,6.09,0,0,0,16,1,2297
student_35,5.37,0,0,0,14,1,818
student_36,7.44,0,0,0,24,1,2872
student_37,5.25,1,0,0,15,1,1589
student_38,6.36,0,0,0,15,1,1305
student_39,6.92,1,0,0,3,1,342
student_40,7.2,0,0,0,26,1,1701
student_41,8.2,0,1,6,20,1,890
student_42,8.5,1,0,0,21,1,1832
student_43,5.77,1,0,0,20,1,2520
student_44,8.5,1,1,1,31,1,2232
student_45,5,0,0,0,26,1,1178
student_46,2.96,0,0,0,7,1,774
student_47,5.19,0,0,0,5,1,1931
student_49,8.9,0,0,0,17,1,3123
student_5,5.4,0,0,0,12,1,1224
student_57,7.27,0,0,0,22,1,3206
student_58,6.33,0,2,2,28,1,2344
student_59,5.43,0,2,0,20,1,1708
student_6,9,0,0,0,25,1,2860
student_60,6,0,0,0,19,1,1692
student_62,9.4,0,5,10,30,1,2773
student_63,5.08,1,0,0,17,1,1086
student_64,5.84,0,1,1,25,1,1401
student_65,9.35,0,0,0,30,1,1657
student_66,0.4,0,1,0,6,1,321
student_67,7,0,3,13,14,1,2649
student_68,8.74,0,5,16,30,1,3828
student_69,8.7,1,0,0,23,1,2370
student_70,7.3,0,0,0,22,1,2429
student_71,9.55,0,0,0,25,1,25134
student_72,9.6,0,0,0,26,1,2657
student_8,5.8,0,0,0,17,1,1581
student_9,4.8,1,0,0,7,1,820
